SMILES,predicted_var,predicted_pIC50,df
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nn[nH]n2)c2cccnc2)cc1,0.37043444907493495,4.475191210830736,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2cn3cccnc3n2)c2cccnc2)cc1,0.4683466497945439,4.6031868603223325,p4_picks
Cc1nn(C)c(C)c1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2546345137009922,4.32961732510823,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ncccn2)c2cccnc2)cc1,0.37990311470925775,4.920202519862476,p4_picks
Cc1[nH]cnc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2325100540227183,4.30190009176296,p4_picks
CCn1cc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)nn1,0.4553099465157686,4.620398044408694,p4_picks
Cc1ccnc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n1,0.4758951253249819,4.951702364074655,p4_picks
Cc1oncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.2055402190871476,4.262705327061761,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2c[nH]cn2)c2cccnc2)cc1,0.45626930721779857,4.928970510061227,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2c[nH]nn2)c2cccnc2)cc1,0.2291733315513511,4.290152116294636,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2ccncn2)c2cccnc2)cc1,0.46323988542006944,4.827194056727005,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nc3c(s2)COCC3)c2cccnc2)cc1,0.3636230060411698,4.479219215171476,p4_picks
CC(C)(C)c1ccc(N(C(=O)c2c[nH]cn2)C(C(=O)NCCc2nnc3c(=O)n(C4CC4)ccn23)c2cccnc2)cc1,0.2409023069866585,4.298174866314591,p4_picks
CC(C)c1nc(CCNC(=O)C(c2cccnc2)N(C(=O)c2c[nH]cn2)c2ccc(C(C)(C)C)cc2)n(C)n1,0.18097750843632454,4.251395827885659,p4_picks
COc1ccncc1CCNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,0.5761349657026464,4.796159063830484,p4_picks
